Date,Open,High,Low,Close,Adj Close,Volume
2023-07-13,25125.000000,25200.000000,24825.000000,24900.000000,22719.457031,1610800
2023-07-14,24900.000000,25200.000000,24850.000000,25200.000000,22993.185547,1194700
2023-07-17,25300.000000,25600.000000,25250.000000,25425.000000,23198.480469,1370500
2023-07-18,25475.000000,25550.000000,25200.000000,25250.000000,23038.806641,967200
2023-07-20,25400.000000,25800.000000,25400.000000,25500.000000,23266.912109,1604000
2023-07-21,25600.000000,26850.000000,25575.000000,26775.000000,24430.257813,3412300
2023-07-24,27300.000000,28075.000000,27050.000000,28000.000000,25547.982422,4262000
2023-07-25,28900.000000,28900.000000,27525.000000,27525.000000,25114.580078,4511100
2023-07-26,27700.000000,28250.000000,27700.000000,28125.000000,25662.037109,2114900
2023-07-27,28250.000000,28300.000000,27800.000000,28025.000000,25570.792969,1583800
2023-07-28,28000.000000,28000.000000,27075.000000,27875.000000,25433.929688,1673400
2023-07-31,27875.000000,27950.000000,27200.000000,27200.000000,24818.041016,2968700
2023-08-01,27275.000000,27475.000000,26800.000000,27000.000000,24635.554688,1748400
2023-08-02,26900.000000,26900.000000,26600.000000,26625.000000,24293.394531,1254400
2023-08-03,26575.000000,27275.000000,26500.000000,27175.000000,24795.230469,998200
2023-08-04,27500.000000,27525.000000,27200.000000,27225.000000,24840.851563,1128700
2023-08-07,27225.000000,27400.000000,27175.000000,27225.000000,24840.851563,759400
2023-08-08,27425.000000,27500.000000,27225.000000,27475.000000,25068.958984,1059600
2023-08-09,27550.000000,27950.000000,27375.000000,27950.000000,25502.361328,1472500
2023-08-10,28000.000000,28625.000000,28000.000000,28375.000000,25890.142578,2871900
2023-08-11,27900.000000,27900.000000,27250.000000,27600.000000,25183.011719,2156800
2023-08-14,27600.000000,28200.000000,27600.000000,28075.000000,25616.414063,1918600
2023-08-15,28250.000000,28375.000000,27975.000000,28250.000000,25776.089844,1193700
2023-08-16,28250.000000,28300.000000,28000.000000,28200.000000,25730.468750,1196100
2023-08-18,28200.000000,28300.000000,28000.000000,28050.000000,25593.603516,1275000
2023-08-21,28100.000000,28325.000000,28100.000000,28225.000000,25753.279297,1253500
2023-08-22,28250.000000,29650.000000,28250.000000,29400.000000,26825.382813,4285800
2023-08-23,29600.000000,29950.000000,29575.000000,29600.000000,27007.867188,2471700
2023-08-24,29500.000000,29500.000000,28900.000000,29150.000000,26597.275391,2042800
2023-08-25,29000.000000,29000.000000,28600.000000,28700.000000,26186.681641,1221100
2023-08-28,28950.000000,29400.000000,28950.000000,29225.000000,26665.707031,1274400
2023-08-29,29475.000000,29600.000000,29000.000000,29050.000000,26506.033203,974800
2023-08-30,29050.000000,29350.000000,29050.000000,29175.000000,26620.085938,789900
2023-08-31,29100.000000,29150.000000,28925.000000,28925.000000,26391.978516,951300
2023-09-01,29000.000000,29275.000000,29000.000000,29200.000000,26642.896484,479900
2023-09-04,30125.000000,31350.000000,30125.000000,30975.000000,28262.457031,4750100
2023-09-05,31000.000000,31425.000000,30850.000000,30925.000000,28216.833984,2757000
2023-09-06,31225.000000,31275.000000,30975.000000,31100.000000,28376.509766,2071000
2023-09-07,31050.000000,31050.000000,30700.000000,30750.000000,28057.160156,1954300
2023-09-08,30750.000000,31000.000000,30600.000000,30750.000000,28057.160156,2184600
2023-09-11,30750.000000,30975.000000,30000.000000,30375.000000,27715.000000,6157600
2023-09-12,28100.000000,28450.000000,28000.000000,28100.000000,28100.000000,4173700
2023-09-13,28100.000000,28600.000000,28100.000000,28425.000000,28425.000000,2239500
2023-09-14,28725.000000,29600.000000,28725.000000,29350.000000,29350.000000,3756800
2023-09-15,29400.000000,29500.000000,28700.000000,29000.000000,29000.000000,1882100
2023-09-18,29000.000000,29150.000000,28625.000000,28675.000000,28675.000000,1121900
2023-09-19,28675.000000,29125.000000,28650.000000,29000.000000,29000.000000,705900
2023-09-20,29350.000000,29350.000000,29000.000000,29000.000000,29000.000000,1258800
2023-09-21,29000.000000,29000.000000,28775.000000,28775.000000,28775.000000,939200
2023-09-22,28750.000000,29150.000000,28700.000000,28900.000000,28900.000000,804300
2023-09-25,29350.000000,29350.000000,28950.000000,29075.000000,29075.000000,991000
2023-09-26,29100.000000,29200.000000,28375.000000,28500.000000,28500.000000,1566500
2023-09-27,28500.000000,28675.000000,28350.000000,28375.000000,28375.000000,1687600
2023-09-29,28425.000000,29100.000000,28425.000000,28975.000000,28975.000000,1578700
